"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-01",,"78","87","68"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-02",,"78","86","69"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-03","0.00","80","86","69"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-04","0.00","78","84","73"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-05","0.20","80","86","72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-06","0.04","80","86","75"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-07","0.03","76","84","72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-08","2.56","79",,"71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-09","0.20","80",,"74"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-10","0.00","80",,"72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-11",,"80","88","72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-12",,"80","88","71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-13",,"80","87","73"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-14",,"79",,"72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-15",,"78","89","70"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-16",,"78",,"67"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-17",,"78","87","67"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-18",,"79","87","68"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-19",,"80","88","70"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-20",,"80","89","72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-21",,"80","87","71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-22",,"79","88","70"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-23",,"80","87","70"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-24",,"81",,"69"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-25",,"80","89","69"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-26",,"80","88","70"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-27",,"81",,"70"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-28","0.00","81","89","73"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-29",,"80","88","70"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-30",,"79","87","71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-01-31",,"81",,"71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-01",,"82","90","74"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-02",,"82",,"74"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-03",,"81","90","73"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-04",,"81","89","70"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-05",,"81","90","70"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-06",,"80","89","71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-07",,"80",,
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-08",,"81","91","71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-09",,"82","90","72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-10",,"83","90","73"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-11",,"80","91","73"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-12",,"81","89","70"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-13",,"82",,"72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-14",,"82",,"73"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-15",,"81","91","72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-16",,"82","90","73"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-17",,"81","91","72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-18",,"81","92","71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-19",,"83",,"73"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-20",,"82","92","72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-21",,"83",,"72"
"IN020040900","MADRAS MINAMBAKKAM, IN","2024-02-22",,"84","93","75"
